cluster,log__ONEOFF_PURCHASES,log__CASH_ADVANCE_FREQUENCY,quantil__BALANCE_FREQUENCY,quantil__PURCHASES_FREQUENCY,quantil__ONEOFF_PURCHASES_FREQUENCY,quantil__PURCHASES_INSTALLMENTS_FREQUENCY,quantil__PRC_FULL_PAYMENT,remainder__null_minimum_payments,qtde_por_cluster
0,0.8351763258071642,-0.3157528610846631,-1.4217419113329561,-0.02965134406199881,0.7449109474389466,-0.4116929286447399,0.36062803876009997,-0.1898144308514396,215
1,-0.9807223898496314,0.8146501652221665,0.19002152352450483,-1.3914157675522203,-0.9792377237802935,-0.9534094655887374,-0.31742684107630104,-0.18981443085143962,392
2,1.1194545087083476,-0.3525889078017572,0.5977374874703405,1.2205334592023014,1.1465159242182552,1.0569089389574564,0.4830323062946368,-0.1898144308514396,303
3,-0.9790870128991899,-0.5261497278690941,-0.12564030420503372,0.5923437896364381,-0.9753321842132462,0.8849591718080195,0.4782286055910044,-0.1898144308514396,409
4,0.8193014933664708,0.2253474018066652,0.6539224382043843,0.036222587438799914,0.8058291360346527,-0.392077957313262,-0.4838438208432368,-0.1898144308514396,407
5,-0.23803541288544977,-0.37055658905335276,-1.5083468941088405,-0.20689241842408027,-0.20421271441347993,-0.2536047273652795,-0.6864678713891199,5.268303339816463,64
